Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right
93.24411,140.68134,88.77572,102.02396,25.686517540142944,1.6038399829698662,nan,nan
93.72823,138.79803,96.80013,104.787735,24.536323321730013,1.893645736688661,nan,nan
99.63222,142.75157,103.567955,109.92038,24.101433273518783,2.2210225626064917,nan,nan
104.15926,145.34703,106.78185,115.19949,24.20272359293228,2.7855366489224287,nan,nan
110.888245,147.68692,107.44113,117.72849,24.91178507193893,4.037296098650738,nan,nan
115.367325,149.72597,111.1943,122.44659,24.702096017276123,4.81617035058149,nan,nan
121.306656,149.87216,116.50204,126.692245,25.865094853180487,6.159358191284256,nan,nan
128.88956,154.01187,127.99683,133.72296,25.30052900455523,6.248661929493948,nan,nan
131.09912,154.69891,130.50458,136.25148,25.447264182021204,6.48532134155256,nan,nan
133.46202,156.18575,133.64563,138.77066,25.665900468738382,6.438070131217008,nan,nan
139.03963,157.61731,139.75934,143.85231,26.836892399321247,7.457665901418304,nan,nan
143.43745,158.42099,144.84637,147.55708,27.754003342912895,8.22048674676227,nan,nan
147.36148,159.20987,149.26842,149.81624,28.469982515037444,8.589926716045815,nan,nan
149.15303,160.05927,152.07181,152.16362,28.507594244158433,8.690035180343227,nan,nan
152.14963,161.3811,155.6444,154.81342,29.01157805489159,8.905416305968789,nan,nan
62.48652576089918,3.6715473133743353,162.7729,158.71924,nan,nan,nan,nan
60.24769528362109,3.170677721510378,166.90593,160.32796,nan,nan,nan,nan
58.81486899029904,2.41700648244445,169.26482,161.81425,nan,nan,nan,nan
57.488217348512585,1.8777791816988552,172.094,163.14699,nan,nan,nan,nan
56.74204823570554,0.2382043046895077,174.46655,167.98502,nan,nan,nan,nan
56.273554414865195,0.5512210396300317,175.34142,168.78821,nan,nan,nan,nan
55.972577826920784,0.9703717637604227,176.29317,169.82016,nan,nan,nan,nan
55.533491578019564,0.8918718634997328,177.18199,169.47641,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
28.472055,56.04873,33.48033,32.04276,175.46231,173.0664,177.76689,177.38385
23.812511,51.257988,35.42404,25.15437,175.09743,175.17572,178.54639,179.83214
22.36946,51.232742,33.31881,26.432882,174.73805,175.04239,177.73573,179.46259
19.571976,52.987225,34.249886,26.199808,177.059,172.37495,179.29224,177.2213
21.687237,51.12004,32.511314,25.803509,175.00427,174.7616,177.69844,179.01622
22.679352,52.292744,32.2303,24.341572,175.54916,174.37878,177.98782,179.0585
23.494114,52.33584,32.291904,26.669304,175.12717,174.02203,177.42693,178.73358
24.92716,54.9414,31.471214,27.307089,175.96603,172.97174,177.56714,178.10255
